339.2751	1.440e-48
339.2918	1.557e-48
339.3085	1.675e-48
339.3251	1.795e-48
339.3418	1.914e-48
339.3584	2.033e-48
339.3751	2.152e-48
339.3918	2.270e-48
339.4084	2.386e-48
339.4251	2.501e-48
339.4418	2.613e-48
339.4584	2.725e-48
339.4751	2.834e-48
339.4918	2.940e-48
339.5084	3.043e-48
339.5251	3.143e-48
339.5418	3.240e-48
339.5585	3.335e-48
339.5752	3.427e-48
339.5919	3.517e-48
339.6085	3.603e-48
339.6252	3.688e-48
339.6419	3.771e-48
339.6586	3.850e-48
339.6753	3.928e-48
339.6920	4.004e-48
339.7087	4.079e-48
339.7254	4.156e-48
339.7421	4.232e-48
339.7588	4.308e-48
339.7755	4.384e-48
339.7922	4.460e-48
339.8089	4.538e-48
339.8256	4.618e-48
339.8423	4.704e-48
339.8590	4.792e-48
339.8757	4.886e-48
339.8924	4.987e-48
339.9091	5.092e-48
339.9259	5.204e-48
339.9426	5.325e-48
339.9593	5.453e-48
339.9760	5.592e-48
339.9927	5.741e-48
340.0095	5.903e-48
340.0262	6.074e-48
340.0429	6.258e-48
340.0597	6.454e-48
340.0764	6.666e-48
340.0931	6.891e-48
340.1099	7.132e-48
340.1266	7.386e-48
340.1433	7.659e-48
340.1601	7.946e-48
340.1768	8.250e-48
340.1936	8.570e-48
340.2103	8.909e-48
340.2270	9.265e-48
340.2438	9.640e-48
340.2605	1.003e-47
340.2773	1.044e-47
340.2940	1.087e-47
340.3108	1.131e-47
340.3276	1.176e-47
340.3443	1.224e-47
340.3611	1.273e-47
340.3778	1.324e-47
340.3946	1.377e-47
340.4114	1.431e-47
340.4281	1.487e-47
340.4449	1.544e-47
340.4617	1.603e-47
340.4784	1.664e-47
340.4952	1.725e-47
340.5120	1.788e-47
340.5288	1.853e-47
340.5455	1.918e-47
340.5623	1.985e-47
340.5791	2.052e-47
340.5959	2.120e-47
340.6127	2.189e-47
340.6294	2.259e-47
340.6462	2.329e-47
340.6630	2.400e-47
340.6798	2.471e-47
340.6966	2.542e-47
340.7134	2.614e-47
340.7302	2.685e-47
340.7470	2.757e-47
340.7638	2.828e-47
340.7806	2.899e-47
340.7974	2.970e-47
340.8142	3.040e-47
340.8310	3.110e-47
340.8478	3.179e-47
340.8646	3.248e-47
340.8814	3.315e-47
340.8982	3.382e-47
340.9150	3.448e-47
340.9319	3.513e-47
340.9487	3.577e-47
340.9655	3.641e-47
340.9823	3.703e-47
340.9991	3.765e-47
341.0160	3.825e-47
341.0328	3.884e-47
341.0496	3.941e-47
341.0664	3.997e-47
341.0833	4.052e-47
341.1001	4.105e-47
341.1169	4.157e-47
341.1338	4.207e-47
341.1506	4.256e-47
341.1675	4.304e-47
341.1843	4.350e-47
341.2011	4.395e-47
341.2180	4.438e-47
341.2348	4.481e-47
341.2517	4.522e-47
341.2685	4.562e-47
341.2854	4.601e-47
341.3022	4.639e-47
341.3191	4.676e-47
341.3359	4.713e-47
341.3528	4.748e-47
341.3697	4.783e-47
341.3865	4.817e-47
341.4034	4.850e-47
341.4202	4.883e-47
341.4371	4.916e-47
341.4540	4.949e-47
341.4708	4.981e-47
341.4877	5.013e-47
341.5046	5.045e-47
341.5214	5.077e-47
341.5383	5.109e-47
341.5552	5.141e-47
341.5721	5.173e-47
341.5890	5.207e-47
341.6058	5.240e-47
341.6227	5.274e-47
341.6396	5.309e-47
341.6565	5.344e-47
341.6734	5.380e-47
341.6903	5.417e-47
341.7072	5.455e-47
341.7241	5.494e-47
341.7410	5.534e-47
341.7579	5.575e-47
341.7748	5.617e-47
341.7917	5.660e-47
341.8086	5.704e-47
341.8255	5.749e-47
341.8424	5.795e-47
341.8593	5.843e-47
341.8762	5.892e-47
341.8931	5.941e-47
341.9100	5.992e-47
341.9269	6.044e-47
341.9438	6.097e-47
341.9608	6.151e-47
341.9777	6.206e-47
341.9946	6.262e-47
342.0115	6.319e-47
342.0284	6.377e-47
342.0454	6.435e-47
342.0623	6.494e-47
342.0792	6.554e-47
342.0961	6.614e-47
342.1131	6.675e-47
342.1300	6.736e-47
342.1469	6.797e-47
342.1639	6.859e-47
342.1808	6.921e-47
342.1978	6.983e-47
342.2147	7.044e-47
342.2317	7.106e-47
342.2486	7.167e-47
342.2655	7.228e-47
342.2825	7.288e-47
342.2994	7.348e-47
342.3164	7.407e-47
342.3333	7.466e-47
342.3503	7.523e-47
342.3673	7.580e-47
342.3842	7.636e-47
342.4012	7.691e-47
342.4181	7.745e-47
342.4351	7.797e-47
342.4521	7.848e-47
342.4690	7.898e-47
342.4860	7.947e-47
342.5030	7.994e-47
342.5199	8.040e-47
342.5369	8.084e-47
342.5539	8.127e-47
342.5709	8.168e-47
342.5879	8.208e-47
342.6048	8.246e-47
342.6218	8.282e-47
342.6388	8.317e-47
342.6558	8.351e-47
342.6728	8.383e-47
342.6898	8.413e-47
342.7068	8.442e-47
342.7237	8.469e-47
342.7407	8.495e-47
342.7577	8.519e-47
342.7747	8.542e-47
342.7917	8.564e-47
342.8087	8.584e-47
342.8257	8.604e-47
342.8428	8.622e-47
342.8597	8.640e-47
342.8768	8.657e-47
342.8938	8.679e-47
342.9108	8.701e-47
342.9278	8.723e-47
342.9448	8.744e-47
342.9618	8.764e-47
342.9788	8.784e-47
342.9959	8.804e-47
343.0129	8.823e-47
343.0299	8.842e-47
343.0469	8.861e-47
343.0640	8.880e-47
343.0810	8.899e-47
343.0980	8.918e-47
343.1151	8.937e-47
343.1321	8.956e-47
343.1491	8.976e-47
343.1662	8.995e-47
343.1832	9.016e-47
343.2002	9.036e-47
343.2173	9.057e-47
343.2343	9.078e-47
343.2514	9.100e-47
343.2684	9.122e-47
343.2855	9.145e-47
343.3025	9.169e-47
343.3196	9.193e-47
343.3366	9.217e-47
343.3537	9.242e-47
343.3707	9.267e-47
343.3878	9.292e-47
343.4048	9.318e-47
343.4219	9.344e-47
343.4390	9.370e-47
343.4560	9.396e-47
343.4731	9.422e-47
343.4902	9.449e-47
343.5072	9.475e-47
343.5243	9.501e-47
343.5414	9.527e-47
343.5585	9.552e-47
